cve_id,description,Software,Software Version,Vulnerability Type,Source,Reason,Privilege,Attacker Action,Trigger,System State,Consequences,Network Access,Exploit,Vendor,User Interaction,Patch,Operating System
CVE-2024-21732,FlyCms through abbaa5a allows XSS via the permission management feature.,FlyCms,through abbaa5a,XSS,via the permission management feature,,,,,,,,,,,,
CVE-2023-5877,"The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint, allowing unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses, leading to a Server Side Request Forgery (SSRF) issue.",affiliate-toolkit WordPress plugin,before 3.4.3,Server Side Request Forgery (SSRF),affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint,lacks authorization and authentication for requests,unauthenticated visitors,make requests to arbitrary URL's,,,,,,,,,
CVE-2023-6000,"The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript in them, which could lead to Stored XSS attacks.",Popup Builder WordPress plugin,before 4.2.3,Stored XSS attacks,,"does not prevent simple visitors from updating existing popups, and injecting raw JavaScript in them",simple visitors,"updating existing popups, and injecting raw JavaScript in them",updating existing popups,,,,,,,,
CVE-2023-6037,"The WP TripAdvisor Review Slider WordPress plugin before 11.9 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks even when the unfiltered_html capability is disallowed (for example in multisite setup)",WP TripAdvisor Review Slider WordPress plugin,before 11.9,Stored Cross-Site Scripting attacks,,does not sanitise and escape some of its settings,high privilege users such as admin,,,even when the unfiltered_html capability is disallowed,,,,,,,
CVE-2023-6113,"The WP STAGING WordPress Backup Plugin before 3.1.3 and WP STAGING Pro WordPress Backup Plugin before 5.1.3 do not prevent visitors from leaking key information about ongoing backups processes, allowing unauthenticated attackers to download said backups later.",WP STAGING Pro WordPress Backup Plugin,before 5.1.3,,,do not prevent visitors from leaking key information about ongoing backups processes,unauthenticated attackers,,,,download said backups later,,,,,,
CVE-2024-0181,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. The manipulation of the argument Firstname/Lastname/Username leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249433 was assigned to this vulnerability.,RRJ Nueva Ecija Engineer Online Portal,1.0,cross site scripting,unknown functionality of the file /admin/admin_user.php of the component Admin Panel,,,The manipulation of the argument Firstname/Lastname/Username,,,,attack can be launched remotely,exploit has been disclosed to the public and may be used,,,,
CVE-2023-50094,reNgine through 2.0.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.,reNgine,through 2.0.2,OS Command Injection,api/tools/waf_detector/?url= string,,valid session ID,The commands are executed as root via subprocess.check_output,shell metacharacters in an api/tools/waf_detector/?url= string,,,,,,,,
CVE-2023-50096,"STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus. This is caused by an StSafeA_ReceiveBytes buffer overflow in the X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications (1.2.0), and thus can affect user-written code that was derived from a published sample application.",STSAFE-A1xx middleware,before 3.3.7,code execution,X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications (1.2.0),caused by an StSafeA_ReceiveBytes buffer overflow,ability to read from and write to the I2C bus,,,,can affect user-written code that was derived from a published sample application,,,STMicroelectronics,,,
CVE-2024-0182,A vulnerability was found in SourceCodester Engineers Online Portal 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely. The identifier of this vulnerability is VDB-249440.,SourceCodester Engineers Online Portal,1.0,sql injection,some unknown functionality of the file /admin/ of the component Admin Login,,,manipulation of the argument username/password,,,,attack may be launched remotely,,,,,
CVE-2024-0186,A vulnerability classified as problematic has been found in HuiRan Host Reseller System up to 2.0.0. Affected is an unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler. The manipulation leads to weak password recovery. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249444.,HuiRan Host Reseller System,up to 2.0.0,weak password recovery,unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler,,,,,,,possible to launch the attack remotely,The exploit has been disclosed to the public and may be used,,,,
CVE-2023-32831,"In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00325055; Issue ID: MSV-868.",,,information disclosure,wlan driver,PIN crack due to use of insufficiently random values,no execution privileges needed,,,,,local,,,User interaction is not needed for exploitation,Patch ID: WCNCR00325055,
