cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2023-6147,"Qualys Jenkins Plugin for Policy Compliance prior to version and including 1.0.5 was identified to be affected by a security flaw, which was missing a permission check while performing a connectivity check to Qualys Cloud Services. This allowed any user with login access to configure or edit jobs to utilize the plugin and configure potential a rouge endpoint via which it was possible to control response for certain request which could be injected with XXE payloads leading to XXE while processing the response data",2024-01-09T08:08:43.883Z,5.7,"Qualys,Inc. ",Policy Compliance Connector Jenkins Plugin,Qualys,Qualys Jenkins Plugin for Policy Compliance,prior to and including 1.0.5,N/A,connectivity check to Qualys Cloud Services,missing a permission check,performing a connectivity check to Qualys Cloud Services,configure or edit jobs to utilize the plugin and configure a rogue endpoint,User with login access,User has login access to Jenkins and the plugin is enabled,Local,Login access,XML External Entity (XXE),Control response for certain request which could be injected with XXE payloads leading to XXE
CVE-2023-6540,A vulnerability was reported in the Lenovo Browser Mobile and Lenovo Browser HD Apps for Android that could allow an attacker to craft a payload that could result in the disclosure of sensitive information.,2024-01-03T21:01:59.690Z,6.5,Lenovo,Lenovo Browser Mobile,Lenovo,Lenovo Browser Mobile and Lenovo Browser HD Apps,N/A,Android,N/A,The vulnerability allows crafting a payload that results in disclosure,crafting a payload,craft a payload,No,,Remote,Unauthenticated,Information Disclosure,disclosure of sensitive information
CVE-2023-6798,"The RSS Aggregator by Feedzy – Feed to Post, Autoblogging, News & YouTube Video Feeds Aggregator plugin for WordPress is vulnerable to unauthorized settings update due to a missing capability check when updating settings in all versions up to, and including, 4.3.2. This makes it possible for authenticated attackers, with author-level access or above to change the plugin's settings including proxy settings, which are also exposed to authors.",2024-01-06T09:38:36.799Z,5.4,themeisle,"RSS Aggregator by Feedzy – Feed to Post, Autoblogging, News & YouTube Video Feeds Aggregator",WordPress,"RSS Aggregator by Feedzy – Feed to Post, Autoblogging, News & YouTube Video Feeds Aggregator plugin",up to and including 4.3.2,N/A,Settings update functionality,Missing capability check when updating settings,Updating settings without capability check,Change the plugin's settings including proxy settings,No,Authenticated session with author-level access,Remote,Authenticated with author-level access or above,Unauthorized Settings Update,Authenticated attackers can change plugin settings including proxy settings
CVE-2023-6921,Blind SQL Injection vulnerability in PrestaShow Google Integrator (PrestaShop addon) allows for data extraction and modification. This attack is possible via command insertion in one of the cookies.,2024-01-08T11:34:19.799Z,9.8,PrestaShow,PrestaShop Google Integrator,PrestaShow,Google Integrator (PrestaShop addon),N/A,N/A,cookies,improper handling of user-supplied data,command insertion in one of the cookies,perform command insertion in cookies,No,,Remote,Unauthenticated,Blind SQL Injection,Data extraction and modification
CVE-2023-6629,"The POST SMTP Mailer – Email log, Delivery Failure Notifications and Best Mail SMTP for WordPress plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via the ‘msg’ parameter in all versions up to, and including, 2.8.6 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.",2024-01-03T04:29:33.793Z,6.1,wpexpertsio,POST SMTP – The #1 WordPress SMTP Plugin with Advanced Email Logging and Delivery Failure Notifications,WordPress,"POST SMTP Mailer – Email log, Delivery Failure Notifications and Best Mail SMTP for WordPress plugin",up to and including 2.8.6,N/A,'msg' parameter,insufficient input sanitization and output escaping,tricking a user into performing an action such as clicking on a link,inject arbitrary web scripts,"Yes, tricking a user into performing an action such as clicking on a link",,Remote,Unauthenticated,Reflected Cross-Site Scripting,arbitrary web scripts execution
CVE-2023-6004,"A flaw was found in libssh. By utilizing the ProxyCommand or ProxyJump feature, users can exploit unchecked hostname syntax on the client. This issue may allow an attacker to inject malicious code into the command of the features mentioned through the hostname parameter.",2024-01-03T17:01:38.672Z,4.8,Red Hat,Red Hat Enterprise Linux 8,libssh,libssh,N/A,N/A,unchecked hostname syntax,utilization of the ProxyCommand or ProxyJump feature,use of ProxyCommand or ProxyJump with specific hostname syntax,inject malicious code through the hostname parameter,Yes,,Remote,Unauthenticated,Code Injection,Execution of malicious code
CVE-2023-6992,Cloudflare version of zlib library was found to be vulnerable to memory corruption issues affecting the deflation algorithm implementation (deflate.c). The issues resulted from improper input validation and heap-based buffer overflow. A local attacker could exploit the problem during compression using a crafted malicious file potentially leading to denial of service of the software. Patches: The issue has been patched in commit 8352d10 https://github.com/cloudflare/zlib/commit/8352d108c05db1bdc5ac3bdf834dad641694c13c . The upstream repository is not affected.,2024-01-04T11:11:07.558Z,4.0,Cloudflare,zlib,Cloudflare,zlib library,N/A,N/A,deflation algorithm implementation (deflate.c),improper input validation and heap-based buffer overflow,compression using a crafted malicious file,exploit memory corruption during compression,No,N/A,Local access,N/A,memory corruption,potentially leading to denial of service of the software
CVE-2023-6984,"The PowerPack Addons for Elementor (Free Widgets, Extensions and Templates) plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 2.7.13. This is due to missing or incorrect nonce validation in the powerpack-lite-for-elementor/classes/class-pp-admin-settings.php file. This makes it possible for unauthenticated attackers to modify and reset plugin settings via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.",2024-01-03T08:29:49.286Z,5.3,ideaboxcreations,"PowerPack Addons for Elementor (Free Widgets, Extensions and Templates)",WordPress,"PowerPack Addons for Elementor (Free Widgets, Extensions and Templates) plugin",up to and including 2.7.13,N/A,powerpack-lite-for-elementor/classes/class-pp-admin-settings.php,missing or incorrect nonce validation,trick a site administrator into performing an action such as clicking on a link,modify and reset plugin settings via a forged request,"Yes, site administrator needs to be tricked into performing an action",,Indirect,Unauthenticated,Cross-Site Request Forgery,Unauthenticated attackers can modify plugin settings
CVE-2023-6140,"The Essential Real Estate WordPress plugin before 4.4.0 does not prevent users with limited privileges on the site, like subscribers, from momentarily uploading malicious PHP files disguised as ZIP archives, which may lead to remote code execution.",2024-01-08T19:00:36.658Z,,Unknown,Essential Real Estate,WordPress,Essential Real Estate plugin,before 4.4.0,N/A,File upload functionality,Does not prevent users with limited privileges from uploading PHP files disguised as ZIP,Uploading malicious PHP files disguised as ZIP archives,Upload malicious PHP files disguised as ZIP archives as users with limited privileges,No,Site with user accounts having limited privileges like subscribers,Remote,"Limited privileges, like subscribers",Remote Code Execution,Remote code execution
CVE-2023-6270,"A flaw was found in the ATA over Ethernet (AoE) driver in the Linux kernel. The aoecmd_cfg_pkts() function improperly updates the refcnt on `struct net_device`, and a use-after-free can be triggered by racing between the free on the struct and the access through the `skbtxq` global queue. This could lead to a denial of service condition or potential code execution.",2024-01-04T17:01:51.165Z,7.0,Red Hat,Red Hat Enterprise Linux 6,Linux,Linux kernel,N/A,Linux,ATA over Ethernet (AoE) driver,Improper update of the refcnt on `struct net_device`,Racing between the free on the struct and the access through the `skbtxq` global queue,Trigger use-after-free by exploiting the race condition,No,System running AoE and having network operations that trigger race conditions,Local,Kernel-level,Use-After-Free,Denial of service condition or potential code execution
